,children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,family_status_factorize,total_income_categorical,total_income_categorical_factorize,purpose_factorize,dob_years_categorical,days_employed_categorical
0,1,0.7705637468274186,42,высшее,0,женат / замужем,0,F,сотрудник,0,253875.6394525987,жильё,0,75-100%,0,0,50-75%,75-100%
1,1,0.3675619866530092,36,среднее,1,женат / замужем,0,F,сотрудник,0,112080.01410244204,автомобиль,0,25-50%,1,1,25-50%,50-75%
2,0,0.5135545762767996,33,среднее,1,женат / замужем,0,M,сотрудник,0,145885.95229686378,жильё,0,50-75%,2,0,25-50%,75-100%
3,3,0.37668924260639436,32,среднее,1,женат / замужем,0,M,сотрудник,0,267628.5503294142,образование,0,75-100%,0,2,0-25%,50-75%
4,0,31.07452712756365,53,среднее,1,гражданский брак,1,F,пенсионер,0,158616.07787006293,свадьба,1,50-75%,2,3,75-100%,75-100%
5,0,0.08458318090218432,27,высшее,0,гражданский брак,1,M,компаньон,0,255763.56541904988,жильё,1,75-100%,0,0,0-25%,0-25%
6,0,0.2629408266794476,43,высшее,0,женат / замужем,0,F,компаньон,0,240525.9719203061,жильё,0,75-100%,0,0,50-75%,50-75%
7,0,0.01395247207080096,50,среднее,1,женат / замужем,0,M,сотрудник,0,135823.93419727974,образование,0,25-50%,1,2,50-75%,0-25%
8,2,0.6328644108651819,35,высшее,0,гражданский брак,1,F,сотрудник,0,95856.83242386371,свадьба,1,0-25%,3,3,25-50%,75-100%
9,0,0.19988643334045092,41,среднее,1,женат / замужем,0,M,сотрудник,0,144425.93827708642,жильё,0,25-50%,1,0,25-50%,25-50%
10,2,0.38095741067610095,36,высшее,0,женат / замужем,0,M,компаньон,0,113943.4914603043,жильё,0,25-50%,1,0,25-50%,50-75%
11,0,0.07239286639825859,40,среднее,1,женат / замужем,0,F,сотрудник,0,77069.23427130934,жильё,0,0-25%,3,0,25-50%,0-25%
13,0,0.16864309963982407,54,неоконченное высшее,2,женат / замужем,0,F,сотрудник,0,130458.22885695784,автомобиль,0,25-50%,1,1,75-100%,25-50%
14,0,0.16848914905822412,56,высшее,0,гражданский брак,1,F,компаньон,1,165127.9117721805,жильё,1,50-75%,2,0,75-100%,25-50%
15,1,0.08880040356073728,26,среднее,1,женат / замужем,0,F,сотрудник,0,116820.90444993383,жильё,0,25-50%,1,0,0-25%,25-50%
16,0,0.15707161882676296,35,среднее,1,женат / замужем,0,F,сотрудник,0,289202.7042292056,жильё,0,75-100%,0,0,25-50%,25-50%
17,0,0.2164383306126948,33,высшее,0,гражданский брак,1,M,сотрудник,0,90410.58674466488,жильё,1,0-25%,3,0,25-50%,50-75%
18,0,36.555354969183455,53,среднее,1,вдовец / вдова,2,F,пенсионер,0,56823.7772431838,автомобиль,2,0-25%,3,1,75-100%,75-100%
